,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms,time_signature
13311,0.793,0.736,7,-3.254,0,0.0469,0.0822,0.0,0.109,0.656,112.993,5iSxaPdahpfntlZMH6MJG8,237525,4
13312,0.503,0.687,5,-5.586,1,0.0387,0.00416,3.54e-05,0.289,0.142,155.119,4ScnjB4jyfAkX6tk8Xe4l4,200838,4
13313,0.697,0.899,0,-4.451,1,0.0669,0.178,1.02e-05,0.418,0.833,114.939,55c2qNhAEzHxuzGf2hjb4B,229605,4
13314,0.674,0.753,3,-3.226,1,0.0388,0.00264,1.76e-06,0.0599,0.292,139.99,7ndDjjFDzw6Q68TmIzgHep,155495,4
13315,0.536,0.596,6,-5.799,0,0.0984,0.0592,6.6e-06,0.116,0.643,133.995,53H3sGmqiXWO4MwuZAJfyn,186471,4
13316,0.651,0.703,0,-8.958,0,0.0816,0.0297,0.0,0.0608,0.647,140.051,5zagUtcvmuctPnPtNbW1SY,249444,4
13317,0.615,0.28,0,-8.648,1,0.0433,0.932,0.0,0.0877,0.387,72.797,3dorZFUXgQVxgQwRlroPBo,213827,4
13318,0.651,0.703,0,-8.958,0,0.0816,0.0297,0.0,0.0608,0.647,140.051,7kZOYSBroQNLELGw6gFXXA,249444,4
13319,0.799,0.579,4,-5.144,0,0.0487,0.00381,0.0,0.367,0.363,142.987,4ppb4As3FBM50X2nXVh2Fh,203161,4
13320,0.783,0.627,2,-8.521,1,0.102,0.00756,0.0,0.0606,0.48,100.025,1ZcYBTbaoOAC88CGYMSVRJ,219389,4
13321,0.71,0.625,6,-9.008,0,0.0295,0.029,1.1e-05,0.108,0.784,140.994,5qLBAnvi92N5UUuaM3MFb1,307014,4
13322,0.627,0.618,2,-8.529,1,0.0437,0.0558,0.0,0.351,0.848,82.03,7JhXstyvKtjnEjtJxIkwrH,197443,4
13323,0.818,0.804,1,-4.282,1,0.0798,0.034,0.0,0.154,0.634,106.969,4vjvesvj65Lh0hMRfSlhza,225983,4
13324,0.799,0.579,4,-5.144,0,0.0487,0.00381,0.0,0.367,0.363,142.987,2Hf7CvmePF6KnUti1Tv8JB,203161,4
13325,0.651,0.703,0,-8.958,0,0.0816,0.0297,0.0,0.0608,0.647,140.051,3O7ZWl0KKucexFpDlVFk2N,249444,4
13326,0.708,0.598,5,-8.365,1,0.0291,0.037,0.0,0.17,0.698,112.027,4VQBMUG3pJ1i5lVU3R0JY2,203123,4
13327,0.615,0.28,0,-8.648,1,0.0433,0.932,0.0,0.0877,0.387,72.797,0P3SM2S328fvhWYAYLjRVC,213827,4
13328,0.726,0.699,5,-4.165,1,0.0431,0.049,0.0,0.309,0.866,143.994,3rkFHTQPpX2L6Nf8ZN5MkB,233478,4
13329,0.585,0.845,2,-5.241,0,0.0481,0.00468,0.0435,0.526,0.207,128.025,3dEMIFadobCXQ7794eiNOP,410912,4
13330,0.651,0.703,0,-8.958,0,0.0816,0.0297,0.0,0.0608,0.647,140.051,2dtONTIEUv1kHE63XjNjX7,249444,4
13331,0.635,0.843,5,-5.413,1,0.0432,0.0151,0.0,0.0876,0.434,109.014,0d75FS3X0JweRTnywCpaAG,220733,4
13332,0.651,0.703,0,-8.958,0,0.0816,0.0297,0.0,0.0608,0.647,140.051,6w7TmqTZbYFAmrx3AnCxSP,249444,4
